epoch,val_loss,val_acc
0,5.4058,9.54
0,5.4307,9.44
1,4.7510,18.11
2,4.3095,24.95
3,4.0094,30.02
4,3.8660,32.61
5,3.6981,35.73
6,3.6054,37.70
7,3.5012,39.83
8,3.4379,41.01
9,3.4267,41.13
10,3.4153,41.34
10,5.3708,9.95
11,4.7562,17.84
12,4.3404,24.27
13,4.0963,28.64
14,3.8528,32.88
15,3.7530,34.82
16,3.5697,38.31
17,3.4691,40.45
18,3.3730,42.25
19,3.3279,43.41
20,3.2396,45.05
21,3.1938,46.14
22,3.1388,47.49
23,3.0992,48.54
24,3.0233,50.02
25,3.0317,49.97
26,2.9940,50.99
27,2.9765,51.37
28,2.9615,51.67
29,2.9534,52.37
30,2.9520,52.06
30,2.9201,52.98
31,2.9271,52.76
32,2.9188,52.92
33,2.8989,53.56
34,2.9105,53.30
35,2.9175,53.45
36,2.8890,53.95
37,2.8993,53.74
38,2.8757,54.40
39,2.9091,53.83
40,2.9188,53.47
41,2.9018,53.93
42,2.8959,54.11
43,2.8861,54.28
44,2.8957,54.18
45,2.8898,54.43
46,2.8968,54.10
47,2.8968,54.34
48,2.8821,54.66
49,2.8838,54.65
50,2.8945,54.39
51,2.9054,54.26
52,2.8827,54.73
53,2.8953,54.35
54,2.8874,54.53
55,2.8770,54.74
56,2.8874,54.59
57,2.8886,54.60
58,2.8962,54.57
59,2.8841,54.66
60,2.8866,54.73
61,2.8919,54.69
62,2.8820,54.84
63,2.8775,54.95
64,2.8864,54.74
65,2.8832,54.87
